Genre,Network,CPM,Spot Cost,# Downloads,Avg HHI,Daypart,Female %,Male %,Spot Length,Min Age,Max Age,Spend,Acquisitions,Client Count,CPA
Comedy,Wondery,27.00,810.00,"30,000",94318.00,Wed,0.60,0.40,:60,29,0,5356.00,21.00,4.00,253.61
Society and Culture,Audioboom,33.85,2200.00,"65,000",100000.00,Thu,0.70,0.30,:60,18,45,32920.00,129.00,8.00,254.62
Education,Wondery,35.00,6125.00,"175,000",,Mon;Wed;Fri,0.50,0.50,:60,25,35,92004.00,361.00,8.00,255.04
Leisure,Rooster Teeth,29.41,4117.40,"140,000",,Mon;Tue;Wed;Thu;Fri,0.10,0.90,:60,18,35,14993.00,56.00,2.00,266.82
Comedy,Spotify USA Inc Podcast,28.80,7680.01,"266,667",,Tue;Thu,0.70,0.30,:60,,,1880.00,7.00,1.00,276.94
Society and Culture,Wondery,,0.00,,,,,,,,,13732.00,48.00,6.00,286.85
Society and Culture,Radiotopia,29.41,1058.82,"36,000",,,0.16,0.79,:30,,,2129.00,7.00,1.00,291.60
Arts,Acast,29.75,3451.00,"116,000",,Wed;Sun,0.90,0.10,:60,25,44,17636.00,60.00,5.00,292.86
Comedy,TMOS,8.75,700.00,"80,000",100000.00,Mon;Tue;Wed;Thu;Fri,0.21,0.79,:60,39,39,22351.00,76.00,14.00,293.86
Society and Culture,Premiere Podcast,24.00,15166.02,"631,917",,Tue;Thu;Sat,0.02,0.98,:60,55,55,284622.00,953.00,8.00,298.75
Society and Culture,Washed Media,24.00,840.00,"35,000",,,0.36,0.64,,18,34,3055.00,10.00,2.00,299.51
Technology,Vox Media,31.25,2500.00,"80,000",125000.00,Tue;Fri,0.40,0.60,:60,18,34,11457.00,38.00,1.00,299.60
Comedy,Audioboom,30.00,12300.00,"410,000",100000.00,Thu,0.44,0.56,:60,18,45,141547.00,468.00,8.00,302.15
Comedy,Audioboom,,0.00,,,,,,,,,34362.00,111.00,2.00,308.43
Comedy,Premiere Podcast,24.00,2807.76,"116,990",,Tue,0.22,0.78,:60,18,34,26567.00,85.00,4.00,310.80
Comedy,Paragon Collective,29.41,22059.00,"750,000",,Mon,0.07,0.93,:60,18,64,113916.00,358.00,5.00,317.99
Comedy,Maximum Fun,31.18,2650.00,"85,000",80000.00,Wed,0.50,0.35,:30,18,50,14595.00,46.00,3.00,318.19
Leisure,Studio 71,23.00,2300.00,"100,000",80000.00,Mon,0.05,0.95,:60,18,45,9004.00,28.00,2.00,320.20
Comedy,Audioboom,18.00,1170.00,"65,000",100000.00,Thu;Sun,0.55,0.45,:60,18,45,5616.00,17.00,2.00,321.47
Sports,ESPN Podcast,35.00,0.00,"400,000",97080.00,,0.34,0.66,:60,,,28574.00,89.00,2.00,321.68
True Crime,Podcast One,19.02,1200.00,"63,093",150000.00,Sat,0.23,0.77,:60,,,2400.00,7.00,2.00,333.33
Comedy,Stitcher,29.41,8823.00,"300,000",50000.00,Mon,0.43,0.57,:60,13,64,22496.00,67.00,2.00,337.47
Comedy,Cadence13,25.00,7500.00,"300,000",65000.00,Mon,0.45,0.55,:60,18,49,32475.00,96.00,3.00,338.85
Comedy,Kast Media,16.00,6400.00,"400,000",75000.00,Mon,0.20,0.80,:60,25,44,49448.00,145.00,4.00,340.76
Comedy,Rooster Teeth,29.41,2941.00,"100,000",,Thu,0.65,0.35,:60,18,35,18967.00,53.00,5.00,358.34
Comedy,QCODE,30.00,9000.00,"300,000",50000.00,Tue,0.40,0.60,:60,18,34,107400.00,289.00,5.00,372.05
TV and Film,Barstool Sports,23.54,824.00,"35,000",,Thu;Sun,0.05,0.95,:60,18,34,2193.00,6.00,2.00,384.72
News,Cadence13,25.00,42500.00,"1,700,000",100000.00,Mon;Thu,0.60,0.40,:60,33,33,1001895.00,2550.00,8.00,392.94
TV and Film,Cloud10,28.75,1006.25,"35,000",100000.00,Thu,0.75,0.25,:60,25,44,2848.00,7.00,2.00,406.81
Arts,Paragon Collective,29.41,3971.00,"135,000",,Sun,0.48,0.52,:60,18,64,10588.00,26.00,1.00,407.24
True Crime,AdLarge Media,26.00,15600.00,"600,000",,Mon,0.91,0.09,:60,25,34,417448.00,1005.00,13.00,415.24
Comedy,Holler Audio,,0.00,,,,,,,,,12370.00,29.00,4.00,424.79
Comedy,Audioboom,48.00,2640.00,"55,000",100000.00,Sun,0.73,0.27,:60,29,29,17053.00,39.00,4.00,431.82
Society and Culture,Cadence13,25.00,6250.00,"250,000",50000.00,Wed,0.95,0.05,:60,18,34,17595.00,40.00,3.00,435.41
TV and Film,Kast Media,25.00,2125.00,"85,000",75000.00,Tue,0.20,0.80,:60,25,44,52755.00,120.00,11.00,438.02
Sports,Barstool Sports,35.29,30882.00,"875,000",,Mon;Wed;Fri,0.04,0.96,:60,18,34,105292.00,228.00,4.00,461.66
Leisure,Rooster Teeth,29.41,6618.00,"225,000",,Mon;Tue;Wed;Thu;Fri,0.10,0.90,:60,18,35,35881.00,75.00,3.00,475.56
Business,Authentic,29.41,3529.41,"120,000",73000.00,Mon;Wed,0.76,0.24,:60,19,45,17080.00,34.00,4.00,496.22
Business,Independent Podcast,17.86,1250.00,"70,000",100000.00,Mon;Tue;Wed;Thu;Fri,0.53,0.47,:60,25,55,5000.00,10.00,2.00,500.00
Comedy,Cadence13,30.00,4500.00,"500,000",75000.00,Tue,0.65,0.35,:60,25,49,40089.00,80.00,5.00,501.24
Health and Fitness,Independent Podcast,20.00,1000.00,"50,000",,Mon;Wed;Fri,0.80,0.16,:30,18,60,9139.00,18.00,6.00,505.20
True Crime,Stitcher,29.41,10293.50,"350,000",100000.00,Wed;Thu,0.88,0.12,:60,13,65,36460.00,70.00,3.00,518.63
Society and Culture,Kast Media,25.00,1250.00,"50,000",75000.00,Thu,0.50,0.50,:60,25,54,6762.00,12.00,2.00,543.57
Comedy,Rooster Teeth,29.41,6470.00,"220,000",90000.00,Sun,0.14,0.86,:60,18,35,10714.00,19.00,3.00,562.14
Comedy,Rooster Teeth,29.42,529.50,"18,000",,Wed,0.36,0.64,:60,18,35,2160.00,4.00,4.00,580.59
Comedy,Cadence13,25.00,6250.00,"250,000",50000.00,Thu,0.85,0.15,:60,18,44,91113.00,151.00,10.00,602.40
Leisure,Rooster Teeth,29.41,3529.20,"120,000",,Thu;Fri,0.10,0.90,:60,18,35,14499.00,23.00,1.00,638.71
Society and Culture,Podcast One,30.00,750.00,"25,000",75000.00,Wed;Fri,0.96,0.04,:60,,,2966.00,5.00,1.00,659.06
Sports,ESPN Podcast,30.00,10500.00,"350,000",102006.00,,0.19,0.81,:60,,,66255.00,100.00,1.00,662.55
Comedy,Stitcher,35.29,3529.00,"100,000",100000.00,,0.85,0.15,:60,13,64,10619.00,15.00,2.00,712.67
News,Westwood One Podcast,30.00,6000.00,"200,000",100000.00,Mon;Tue;Wed;Thu;Fri,0.19,0.80,:60,25,44,10905.00,14.00,2.00,757.29
